PartitionKey,FileName,Caller_CodeUnit,Caller_CodeUnit_Database,Caller_CodeUnit_Schema,Caller_CodeUnit_Name,Caller_CodeUnit_FullName,Referenced_Element_Type,Referenced_Element_Database,Referenced_Element_Schema,Referenced_Element_Name,Referenced_Element_FullName,Line,Relation_Type
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_player_profile.sql,CALL,N/A,N/A,N/A,N/A,CREATE PROCEDURE,N/A,intermediate_schema,int_player_profile_proc,intermediate_schema.int_player_profile_proc,74,CALL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_team_competition_seasons.sql,SELECT,N/A,N/A,N/A,N/A,CREATE TABLE,N/A,raw_schema,team_competitions_seasons,raw_schema.team_competitions_seasons,1,SELECT - FROM
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_team_competition_seasons.sql,SELECT,N/A,N/A,N/A,N/A,CREATE TABLE,N/A,raw_schema,team_competitions_seasons,raw_schema.team_competitions_seasons,4,SELECT - FROM
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_team_competition_seasons.sql,SELECT,N/A,N/A,N/A,N/A,CREATE TABLE,N/A,raw_schema,team_competitions_seasons,raw_schema.team_competitions_seasons,20,SELECT - FROM
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_team_competition_seasons.sql,INSERT,N/A,N/A,N/A,N/A,CREATE TABLE,N/A,intermediate_schema,int_team_competitions_seasons,intermediate_schema.int_team_competitions_seasons,22,INSERT
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_team_competition_seasons.sql,INSERT,N/A,N/A,N/A,N/A,CREATE TABLE,N/A,raw_schema,team_competitions_seasons,raw_schema.team_competitions_seasons,29,SELECT - FROM
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_team_competition_seasons.sql,SELECT,N/A,N/A,N/A,N/A,CREATE TABLE,N/A,intermediate_schema,int_team_competitions_seasons,intermediate_schema.int_team_competitions_seasons,31,SELECT - FROM
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_team_competition_seasons.sql,CREATE PROCEDURE,N/A,intermediate_schema,int_team_competitions_seasons_proc,intermediate_schema.int_team_competitions_seasons_proc,CREATE TABLE,N/A,intermediate_schema,int_team_competitions_seasons,intermediate_schema.int_team_competitions_seasons,39,INSERT
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_team_competition_seasons.sql,CREATE PROCEDURE,N/A,intermediate_schema,int_team_competitions_seasons_proc,intermediate_schema.int_team_competitions_seasons_proc,CREATE TABLE,N/A,raw_schema,team_competitions_seasons,raw_schema.team_competitions_seasons,46,SELECT - FROM
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,int_schema_team_competition_seasons.sql,CALL,N/A,N/A,N/A,N/A,CREATE PROCEDURE,N/A,intermediate_schema,int_team_competitions_seasons_proc,intermediate_schema.int_team_competitions_seasons_proc,50,CALL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,raw_schema_player_injuries.sql,SELECT,N/A,N/A,N/A,N/A,CREATE TABLE,N/A,raw_schema,player_injuries,raw_schema.player_injuries,20,SELECT - FROM
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,raw_schema_player_market_value.sql,SELECT,N/A,N/A,N/A,N/A,CREATE TABLE,N/A,raw_schema,player_market_value,raw_schema.player_market_value,19,SELECT - FROM
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,raw_schema_player_national_performance.sql,DROP TABLE,N/A,N/A,N/A,N/A,CREATE TABLE,N/A,raw_schema,player_national_performance,raw_schema.player_national_performance,10,DROP
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,raw_schema_player_national_performance.sql,SELECT,N/A,N/A,N/A,N/A,CREATE TABLE,N/A,raw_schema,player_national_performance,raw_schema.player_national_performance,21,SELECT - FROM
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,raw_schema_player_performance.sql,SELECT,N/A,N/A,N/A,N/A,CREATE TABLE,N/A,raw_schema,player_performance,raw_schema.player_performance,36,SELECT - FROM
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,raw_schema_player_teammates_played_with.sql,SELECT,N/A,N/A,N/A,N/A,CREATE TABLE,N/A,raw_schema,player_teammates_played_with,raw_schema.player_teammates_played_with,26,SELECT - FROM
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,raw_schema_team_competitions_seasons.sql,SELECT,N/A,N/A,N/A,N/A,CREATE TABLE,N/A,raw_schema,team_competitions_seasons,raw_schema.team_competitions_seasons,21,SELECT - FROM
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,raw_schema_team_details.sql,SELECT,N/A,N/A,N/A,N/A,CREATE TABLE,N/A,raw_schema,team_details,raw_schema.team_details,25,SELECT - FROM
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,raw_schema_transfer_history.sql,SELECT,N/A,N/A,N/A,N/A,CREATE TABLE,N/A,raw_schema,transfer_history,raw_schema.transfer_history,23,SELECT - FROM
