PartitionKey,FileType,Category,CodeUnit,SourceDatabase,SourceSchema,CodeUnitName,CodeUnitId,FileName,LineNumber,LinesOfCode,EWI Count,FDM Count,PRF Count,HighestEWISeverity,UDFsUsed,EWI,FDM,PRF,ConversionStatus,LoCConversionPercentage,Deployment Order,SourceLanguage
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,DML,TRUNCATE TABLE,N/A,N/A,N/A,N/A,int_schema_player_national_performance.sql,11,24,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,1,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,TABLE,CREATE TABLE,N/A,intermediate_schema,int_player_national_performance,intermediate_schema.int_player_national_performance,int_schema_player_national_performance.sql,1,9,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,0,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,DQL,SELECT,N/A,N/A,N/A,N/A,int_schema_int_player_teammates_played_with.sql,56,1,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,1,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,DML,CALL,N/A,N/A,N/A,N/A,int_schema_int_player_teammates_played_with.sql,52,2,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,2,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,PROCEDURE,CREATE PROCEDURE,N/A,intermediate_schema,int_player_teammates_played_with_proc,intermediate_schema.int_player_teammates_played_with_proc,int_schema_int_player_teammates_played_with.sql,34,17,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,1,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,DML,TRUNCATE TABLE,N/A,N/A,N/A,N/A,int_schema_int_player_teammates_played_with.sql,32,1,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,1,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,DQL,SELECT,N/A,N/A,N/A,N/A,int_schema_int_player_teammates_played_with.sql,27,3,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,1,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,DML,INSERT,N/A,N/A,N/A,N/A,int_schema_int_player_teammates_played_with.sql,16,10,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,1,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,TABLE,CREATE TABLE,N/A,intermediate_schema,int_player_teammates_played_with,intermediate_schema.int_player_teammates_played_with,int_schema_int_player_teammates_played_with.sql,1,12,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,0,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,DQL,SELECT,N/A,N/A,N/A,N/A,raw_schema_player_market_value.sql,19,1,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,1,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,DQL,SELECT,N/A,N/A,N/A,N/A,raw_schema_player_market_value.sql,7,9,1,1,0,Medium,N/A,SSC-EWI-0073,SSC-FDM-0007,N/A,Partial,11.11%,1*,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,TABLE,CREATE TABLE,N/A,raw_schema,player_market_value,raw_schema.player_market_value,raw_schema_player_market_value.sql,1,5,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,0,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,DATABASE,CREATE DATABASE,N/A,N/A,"""Football_DB""","""Football_DB""",Create_Football_db.sql,1,1,1,0,0,Medium,N/A,SSC-EWI-0073,N/A,N/A,NotSupported,0%,0,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,DML,CALL,N/A,N/A,N/A,N/A,int_schema_int_transfer_history.sql,56,1,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,2,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,PROCEDURE,CREATE PROCEDURE,N/A,intermediate_Schema,int_transfer_history_proc,intermediate_Schema.int_transfer_history_proc,int_schema_int_transfer_history.sql,36,19,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,1,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,DML,INSERT,N/A,N/A,N/A,N/A,int_schema_int_transfer_history.sql,22,13,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,1,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,DML,TRUNCATE TABLE,N/A,N/A,N/A,N/A,int_schema_int_transfer_history.sql,18,1,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,1,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,TABLE,DROP TABLE,N/A,N/A,N/A,N/A,int_schema_int_transfer_history.sql,16,1,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,1,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,TABLE,CREATE TABLE,N/A,intermediate_schema,int_transfer_history,intermediate_schema.int_transfer_history,int_schema_int_transfer_history.sql,2,12,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,0,PostgreSQL
